"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"AC_IN1,AC_OUT1","2","Screw_Terminal_01x03","","","","TerminalBlock:TerminalBlock_MaiXu_MX126-5.0-03P_1x03_P5.00mm","~"
"C1,C2,C4","3","0.1 µF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C3","1","0.01 µF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C5","1","100 µF","","","","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","~"
"C6","1","0.1 μF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"D2,D3","2","LED","","","","LED_SMD:LED_0805_2012Metric","~"
"D7","1","1N4007","","","","Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf"
"F1","1","Fuse","","","","Fuse:Fuseholder_Clip-5x20mm_Littelfuse_111_Inline_P20.00x5.00mm_D1.05mm_Horizontal","~"
"K1","1","SRD-05VDC-SL-C","","","","relaylibrary:RELAY_SRD-05VDC-SL-C",""
"MK1","1","Microphone_Condenser","","","","Sensor_Audio:CUI_CMC-4013-SMT","~"
"Q1","1","S8050","","","","Package_TO_SOT_SMD:SOT-23","http://www.unisonic.com.tw/datasheet/S8050.pdf"
"R1,R4","2","10 kΩ","","","","Resistor_SMD:R_0805_2012Metric","~"
"R2,R6","2","100 kΩ","","","","Resistor_SMD:R_0805_2012Metric","~"
"R3","1","150 Ω","","","","Resistor_SMD:R_0805_2012Metric","~"
"R5","1","1 kΩ","","","","Resistor_SMD:R_0805_2012Metric","~"
"R7","1","10k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R8","1","18k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R9","1","1k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R10","1","100k","","","","Resistor_SMD:R_0805_2012Metric","~"
"RV1","1","100 kΩ","","","","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","~"
"U1","1","LM393","","","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/lm393.pdf"
"U2","1","ESP32-C6-DevKitC-1","","","","ESP32C6Wroom1:ESP32-C6-DevKitC-1","https://docs.espressif.com/projects/espressif-esp-dev-kits/en/latest/esp32c6/esp32-c6-devkitc-1/user_guide.html"
